epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,200.108,1.43273,2.20422,3.58198,0.01493,1.64762,0.78357,0.80226,0.86157,0.46663,0.78968,0.80398,0.86627,0.49447,1.5039,1.88202,1.34644,0.02306,0,0.000666093,0.000666093,0.000666093
2,394.2,1.50121,1.97818,1.26457,0.01598,1.13336,0.74949,0.75221,0.81783,0.47925,0.74572,0.77273,0.82193,0.50058,1.46184,1.8345,1.04519,0.0221,0,0.00129977,0.00129977,0.00129977
3,585.925,1.50915,1.95047,1.1114,0.01628,1.0693,0.8247,0.83594,0.8981,0.53514,0.83076,0.83665,0.89925,0.55357,1.415,1.70746,0.79203,0.02219,0,0.00190045,0.00190045,0.00190045
4,777.264,1.48323,1.92191,1.03098,0.01571,1.01511,0.85836,0.86515,0.92056,0.53862,0.86259,0.86941,0.92295,0.53985,1.44955,1.87067,0.71753,0.02228,0,0.0018515,0.0018515,0.0018515
5,970.904,1.46083,1.88093,0.97082,0.01528,0.96463,0.88823,0.88423,0.94264,0.58087,0.89053,0.88978,0.94345,0.59519,1.33929,1.69863,0.63358,0.0203,0,0.001802,0.001802,0.001802
6,1163.14,1.44176,1.85251,0.89936,0.01511,0.92195,0.9073,0.88068,0.95888,0.60813,0.90466,0.89844,0.96175,0.61262,1.30976,1.6497,0.56768,0.01901,0,0.0017525,0.0017525,0.0017525
7,1355.81,1.40927,1.8284,0.87406,0.01462,0.90198,0.91372,0.8956,0.95795,0.60568,0.91459,0.89986,0.95906,0.60865,1.3115,1.64308,0.53054,0.01931,0,0.001703,0.001703,0.001703
8,1549.03,1.39154,1.80777,0.83956,0.01437,0.86568,0.89054,0.88423,0.95278,0.61286,0.88527,0.89324,0.95348,0.62183,1.26934,1.63086,0.59491,0.01892,0,0.0016535,0.0016535,0.0016535
9,1741.76,1.37713,1.77928,0.8202,0.01428,0.84499,0.90823,0.91193,0.95765,0.60386,0.91247,0.91806,0.9626,0.62148,1.32082,1.62867,0.53398,0.01976,0,0.001604,0.001604,0.001604
10,1935.08,1.37428,1.77103,0.804,0.01398,0.84645,0.92478,0.92543,0.968,0.63091,0.92975,0.9304,0.97262,0.63022,1.27263,1.61682,0.50951,0.01894,0,0.0015545,0.0015545,0.0015545
11,2128.24,1.36148,1.75064,0.7782,0.01399,0.80646,0.91674,0.89489,0.95788,0.62162,0.91654,0.90057,0.9601,0.62605,1.24334,1.59031,0.53159,0.0181,0,0.001505,0.001505,0.001505
12,2322.54,1.33688,1.74377,0.77228,0.01347,0.79708,0.93153,0.92045,0.96115,0.62111,0.93656,0.92543,0.96667,0.63034,1.26506,1.59482,0.48141,0.01851,0,0.0014555,0.0014555,0.0014555
13,2515.59,1.32308,1.72427,0.75507,0.01356,0.79235,0.91749,0.90823,0.96069,0.61989,0.92064,0.91761,0.96589,0.62959,1.28057,1.5905,0.5025,0.01905,0,0.001406,0.001406,0.001406
14,2708.39,1.31928,1.72404,0.76612,0.01346,0.78261,0.91231,0.91832,0.96902,0.64137,0.91313,0.91974,0.97059,0.64562,1.21567,1.55356,0.51922,0.01754,0,0.0013565,0.0013565,0.0013565
15,2915.48,1.31546,1.72211,0.76253,0.01339,0.77599,0.92241,0.91548,0.96731,0.62857,0.92219,0.91754,0.96686,0.6358,1.25146,1.60716,0.51139,0.01829,0,0.001307,0.001307,0.001307
16,3136.34,1.29845,1.70286,0.72441,0.01321,0.75547,0.92919,0.93192,0.97403,0.6526,0.92936,0.93537,0.97535,0.65274,1.2211,1.57433,0.45902,0.01764,0,0.0012575,0.0012575,0.0012575
17,3357.52,1.29082,1.69555,0.73131,0.013,0.73533,0.93029,0.93829,0.973,0.65626,0.93102,0.93941,0.97301,0.65405,1.20574,1.5488,0.47183,0.01734,0,0.001208,0.001208,0.001208
18,3578.04,1.28124,1.6695,0.69474,0.01296,0.72734,0.93722,0.9233,0.97191,0.64123,0.94082,0.92685,0.9739,0.65372,1.25236,1.53963,0.46469,0.01839,0,0.0011585,0.0011585,0.0011585
19,3801.64,1.26567,1.65879,0.69957,0.01273,0.73785,0.93657,0.93466,0.9784,0.65078,0.9402,0.93798,0.98084,0.65526,1.20859,1.53695,0.42969,0.01734,0,0.001109,0.001109,0.001109
